Home Team,Away Team,Home Score,Away Score,Position,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score,Position_Away,Played_Away,Won_Away,Lost_Away,Points_Away,Goals For_Away,Goals Against_Away,Goal Difference_Away,Power Score_Away,Home Played_Away,Home Wins_Away,Home Losses_Away,Home GF_Away,Home GA_Away,Away Played_Away,Away Wins_Away,Away Losses_Away,Away GF_Away,Away GA_Away,Form Score (Last 5)_Away,Home Strength_Away,Away Strength_Away,Goal Per Point_Away,Attacking Strenght_Away,Defense Strength_Away,Normalized Power Score_Away
Go Ahead Eagles,RKC Waalwijk,2.0,0.0,7,22,10,7,35,40,34,6,50.64,12,7,2,25,15,10,3,5,15,19,1.5909090909090908,0.5833333333333334,0.3,0.875,1.818181818181818,1.5454545454545454,0.3379538841626857,17,23,4,14,17,31,47,-16,-15.91,11,3,6,16,18,12,1,8,15,29,0.7391304347826086,0.2727272727272727,0.0833333333333333,0.5483870967741935,1.3478260869565215,2.0434782608695654,-0.9203135300179602
RKC Waalwijk,AZ,0.0,3.0,17,23,4,14,17,31,47,-16,-15.91,11,3,6,16,18,12,1,8,15,29,0.7391304347826086,0.2727272727272727,0.0833333333333333,0.5483870967741935,1.3478260869565215,2.0434782608695654,-0.9203135300179602,5,22,12,6,40,38,21,17,79.45,11,6,4,22,12,11,6,2,16,9,1.818181818181818,0.5454545454545454,0.5454545454545454,1.0526315789473684,1.7272727272727273,0.9545454545454546,0.8826673958462982
Almere City FC,FC Groningen,1.0,1.0,18,23,3,15,14,15,47,-32,-51.39,11,2,8,9,28,12,1,7,6,19,0.6086956521739131,0.1818181818181818,0.0833333333333333,0.9333333333333332,0.6521739130434783,2.0434782608695654,-1.5911373895991672,8,23,7,10,27,22,32,-10,6.96,11,5,2,12,6,12,2,8,10,26,1.173913043478261,0.4545454545454545,0.1666666666666666,1.2272727272727273,0.9565217391304348,1.391304347826087,-0.4879081842281575
Fortuna Sittard,NEC,0.0,3.0,11,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21,1.181818181818182,0.4545454545454545,0.1818181818181818,0.896551724137931,1.318181818181818,1.818181818181818,-0.511163915549603,12,22,7,11,25,34,32,2,31.27,12,4,4,25,16,10,3,7,9,16,1.1363636363636365,0.3333333333333333,0.3,0.7352941176470589,1.5454545454545454,1.4545454545454546,-0.0282766164034918
SC Heerenveen,NAC Breda,4.0,0.0,9,23,7,10,27,27,42,-15,-3.04,11,5,1,18,11,12,2,9,9,31,1.173913043478261,0.4545454545454545,0.1666666666666666,1.0,1.173913043478261,1.826086956521739,-0.6769791705813726,10,23,8,12,27,26,41,-15,-0.87,12,6,4,16,15,11,2,8,10,26,1.173913043478261,0.5,0.1818181818181818,1.0384615384615383,1.1304347826086956,1.7826086956521738,-0.6359507665427249
Willem II Tilburg,Sparta Rotterdam,1.0,2.0,14,23,6,11,24,26,34,-8,7.48,12,3,6,15,16,11,3,5,11,18,1.0434782608695652,0.25,0.2727272727272727,0.9230769230769232,1.1304347826086956,1.4782608695652173,-0.4780764929377903,16,23,4,11,20,19,33,-14,-10.61,11,1,5,9,17,12,3,6,10,16,0.8695652173913043,0.0909090909090909,0.25,1.0526315789473684,0.8260869565217391,1.434782608695652,-0.8201059072507564
FC Utrecht,FC Twente '65,2.0,1.0,4,23,12,4,43,42,36,6,56.78,11,5,4,17,21,12,7,0,25,15,1.8695652173913044,0.4545454545454545,0.5833333333333334,1.0238095238095235,1.826086956521739,1.565217391304348,0.4540434697835597,6,22,11,5,39,46,30,16,74.73,10,7,0,25,8,12,4,5,21,22,1.7727272727272727,0.7,0.3333333333333333,0.8478260869565217,2.090909090909091,1.3636363636363635,0.7934258902875807
PEC Zwolle,Heracles Almelo,3.0,0.0,13,23,6,10,25,27,35,-8,7.91,12,5,5,18,17,11,1,5,9,18,1.0869565217391304,0.4166666666666667,0.0909090909090909,0.925925925925926,1.173913043478261,1.5217391304347827,-0.4699464405246021,15,23,5,9,24,28,43,-15,-8.7,12,3,2,20,18,11,2,7,8,25,1.0434782608695652,0.25,0.1818181818181818,0.8571428571428571,1.2173913043478262,1.8695652173913044,-0.7839933488572923
PSV,Go Ahead Eagles,3.0,0.0,2,23,16,3,52,71,26,45,147.39,12,9,0,40,10,11,7,3,31,16,2.260869565217391,0.75,0.6363636363636364,0.7323943661971831,3.0869565217391304,1.1304347826086956,2.1672156771300406,7,22,10,7,35,40,34,6,50.64,12,7,2,25,15,10,3,5,15,19,1.5909090909090908,0.5833333333333334,0.3,0.875,1.818181818181818,1.5454545454545454,0.3379538841626857
FC Twente '65,PEC Zwolle,1.0,1.0,6,22,11,5,39,46,30,16,74.73,10,7,0,25,8,12,4,5,21,22,1.7727272727272727,0.7,0.3333333333333333,0.8478260869565217,2.090909090909091,1.3636363636363635,0.7934258902875807,13,23,6,10,25,27,35,-8,7.91,12,5,5,18,17,11,1,5,9,18,1.0869565217391304,0.4166666666666667,0.0909090909090909,0.925925925925926,1.173913043478261,1.5217391304347827,-0.4699464405246021
PSV,NEC,2.0,0.0,2,23,16,3,52,71,26,45,147.39,12,9,0,40,10,11,7,3,31,16,2.260869565217391,0.75,0.6363636363636364,0.7323943661971831,3.0869565217391304,1.1304347826086956,2.1672156771300406,12,22,7,11,25,34,32,2,31.27,12,4,4,25,16,10,3,7,9,16,1.1363636363636365,0.3333333333333333,0.3,0.7352941176470589,1.5454545454545454,1.4545454545454546,-0.0282766164034918
FC Groningen,Feyenoord Rotterdam,2.0,2.0,8,23,7,10,27,22,32,-10,6.96,11,5,2,12,6,12,2,8,10,26,1.173913043478261,0.4545454545454545,0.1666666666666666,1.2272727272727273,0.9565217391304348,1.391304347826087,-0.4879081842281575,3,23,12,4,43,48,27,21,86.78,11,7,2,23,12,12,5,2,25,15,1.8695652173913044,0.6363636363636364,0.4166666666666667,0.8958333333333334,2.0869565217391304,1.173913043478261,1.0212564288432049
NAC Breda,Fortuna Sittard,1.0,0.0,10,23,8,12,27,26,41,-15,-0.87,12,6,4,16,15,11,2,8,10,26,1.173913043478261,0.5,0.1818181818181818,1.0384615384615383,1.1304347826086956,1.7826086956521738,-0.6359507665427249,11,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21,1.181818181818182,0.4545454545454545,0.1818181818181818,0.896551724137931,1.318181818181818,1.818181818181818,-0.511163915549603
AZ,SC Heerenveen,9.0,1.0,5,22,12,6,40,38,21,17,79.45,11,6,4,22,12,11,6,2,16,9,1.818181818181818,0.5454545454545454,0.5454545454545454,1.0526315789473684,1.7272727272727273,0.9545454545454546,0.8826673958462982,9,23,7,10,27,27,42,-15,-3.04,11,5,1,18,11,12,2,9,9,31,1.173913043478261,0.4545454545454545,0.1666666666666666,1.0,1.173913043478261,1.826086956521739,-0.6769791705813726
Sparta Rotterdam,Go Ahead Eagles,1.0,2.0,16,23,4,11,20,19,33,-14,-10.61,11,1,5,9,17,12,3,6,10,16,0.8695652173913043,0.0909090909090909,0.25,1.0526315789473684,0.8260869565217391,1.434782608695652,-0.8201059072507564,7,22,10,7,35,40,34,6,50.64,12,7,2,25,15,10,3,5,15,19,1.5909090909090908,0.5833333333333334,0.3,0.875,1.818181818181818,1.5454545454545454,0.3379538841626857
Willem II Tilburg,RKC Waalwijk,3.0,0.0,14,23,6,11,24,26,34,-8,7.48,12,3,6,15,16,11,3,5,11,18,1.0434782608695652,0.25,0.2727272727272727,0.9230769230769232,1.1304347826086956,1.4782608695652173,-0.4780764929377903,17,23,4,14,17,31,47,-16,-15.91,11,3,6,16,18,12,1,8,15,29,0.7391304347826086,0.2727272727272727,0.0833333333333333,0.5483870967741935,1.3478260869565215,2.0434782608695654,-0.9203135300179602
Heracles Almelo,Almere City FC,0.0,0.0,15,23,5,9,24,28,43,-15,-8.7,12,3,2,20,18,11,2,7,8,25,1.0434782608695652,0.25,0.1818181818181818,0.8571428571428571,1.2173913043478262,1.8695652173913044,-0.7839933488572923,18,23,3,15,14,15,47,-32,-51.39,11,2,8,9,28,12,1,7,6,19,0.6086956521739131,0.1818181818181818,0.0833333333333333,0.9333333333333332,0.6521739130434783,2.0434782608695654,-1.5911373895991672
FC Twente '65,SC Heerenveen,2.0,0.0,6,22,11,5,39,46,30,16,74.73,10,7,0,25,8,12,4,5,21,22,1.7727272727272727,0.7,0.3333333333333333,0.8478260869565217,2.090909090909091,1.3636363636363635,0.7934258902875807,9,23,7,10,27,27,42,-15,-3.04,11,5,1,18,11,12,2,9,9,31,1.173913043478261,0.4545454545454545,0.1666666666666666,1.0,1.173913043478261,1.826086956521739,-0.6769791705813726
AFC Ajax,Fortuna Sittard,5.0,0.0,1,22,17,2,54,49,18,31,125.18,11,10,0,28,7,11,7,2,21,11,2.4545454545454546,0.9090909090909092,0.6363636363636364,1.1020408163265305,2.227272727272727,0.8181818181818182,1.7472890164395505,11,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21,1.181818181818182,0.4545454545454545,0.1818181818181818,0.896551724137931,1.318181818181818,1.818181818181818,-0.511163915549603
PEC Zwolle,AZ,1.0,2.0,13,23,6,10,25,27,35,-8,7.91,12,5,5,18,17,11,1,5,9,18,1.0869565217391304,0.4166666666666667,0.0909090909090909,0.925925925925926,1.173913043478261,1.5217391304347827,-0.4699464405246021,5,22,12,6,40,38,21,17,79.45,11,6,4,22,12,11,6,2,16,9,1.818181818181818,0.5454545454545454,0.5454545454545454,1.0526315789473684,1.7272727272727273,0.9545454545454546,0.8826673958462982
FC Utrecht,Willem II Tilburg,3.0,2.0,4,23,12,4,43,42,36,6,56.78,11,5,4,17,21,12,7,0,25,15,1.8695652173913044,0.4545454545454545,0.5833333333333334,1.0238095238095235,1.826086956521739,1.565217391304348,0.4540434697835597,14,23,6,11,24,26,34,-8,7.48,12,3,6,15,16,11,3,5,11,18,1.0434782608695652,0.25,0.2727272727272727,0.9230769230769232,1.1304347826086956,1.4782608695652173,-0.4780764929377903
RKC Waalwijk,Sparta Rotterdam,1.0,2.0,17,23,4,14,17,31,47,-16,-15.91,11,3,6,16,18,12,1,8,15,29,0.7391304347826086,0.2727272727272727,0.0833333333333333,0.5483870967741935,1.3478260869565215,2.0434782608695654,-0.9203135300179602,16,23,4,11,20,19,33,-14,-10.61,11,1,5,9,17,12,3,6,10,16,0.8695652173913043,0.0909090909090909,0.25,1.0526315789473684,0.8260869565217391,1.434782608695652,-0.8201059072507564
Go Ahead Eagles,AFC Ajax,1.0,1.0,7,22,10,7,35,40,34,6,50.64,12,7,2,25,15,10,3,5,15,19,1.5909090909090908,0.5833333333333334,0.3,0.875,1.818181818181818,1.5454545454545454,0.3379538841626857,1,22,17,2,54,49,18,31,125.18,11,10,0,28,7,11,7,2,21,11,2.4545454545454546,0.9090909090909092,0.6363636363636364,1.1020408163265305,2.227272727272727,0.8181818181818182,1.7472890164395505
NEC,Heracles Almelo,1.0,2.0,12,22,7,11,25,34,32,2,31.27,12,4,4,25,16,10,3,7,9,16,1.1363636363636365,0.3333333333333333,0.3,0.7352941176470589,1.5454545454545454,1.4545454545454546,-0.0282766164034918,15,23,5,9,24,28,43,-15,-8.7,12,3,2,20,18,11,2,7,8,25,1.0434782608695652,0.25,0.1818181818181818,0.8571428571428571,1.2173913043478262,1.8695652173913044,-0.7839933488572923
SC Heerenveen,FC Groningen,2.0,1.0,9,23,7,10,27,27,42,-15,-3.04,11,5,1,18,11,12,2,9,9,31,1.173913043478261,0.4545454545454545,0.1666666666666666,1.0,1.173913043478261,1.826086956521739,-0.6769791705813726,8,23,7,10,27,22,32,-10,6.96,11,5,2,12,6,12,2,8,10,26,1.173913043478261,0.4545454545454545,0.1666666666666666,1.2272727272727273,0.9565217391304348,1.391304347826087,-0.4879081842281575
Almere City FC,FC Twente '65,0.0,5.0,18,23,3,15,14,15,47,-32,-51.39,11,2,8,9,28,12,1,7,6,19,0.6086956521739131,0.1818181818181818,0.0833333333333333,0.9333333333333332,0.6521739130434783,2.0434782608695654,-1.5911373895991672,6,22,11,5,39,46,30,16,74.73,10,7,0,25,8,12,4,5,21,22,1.7727272727272727,0.7,0.3333333333333333,0.8478260869565217,2.090909090909091,1.3636363636363635,0.7934258902875807
Feyenoord Rotterdam,NAC Breda,2.0,0.0,3,23,12,4,43,48,27,21,86.78,11,7,2,23,12,12,5,2,25,15,1.8695652173913044,0.6363636363636364,0.4166666666666667,0.8958333333333334,2.0869565217391304,1.173913043478261,1.0212564288432049,10,23,8,12,27,26,41,-15,-0.87,12,6,4,16,15,11,2,8,10,26,1.173913043478261,0.5,0.1818181818181818,1.0384615384615383,1.1304347826086956,1.7826086956521738,-0.6359507665427249
Fortuna Sittard,PSV,1.0,3.0,11,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21,1.181818181818182,0.4545454545454545,0.1818181818181818,0.896551724137931,1.318181818181818,1.818181818181818,-0.511163915549603,2,23,16,3,52,71,26,45,147.39,12,9,0,40,10,11,7,3,31,16,2.260869565217391,0.75,0.6363636363636364,0.7323943661971831,3.0869565217391304,1.1304347826086956,2.1672156771300406
Heracles Almelo,SC Heerenveen,2.0,1.0,15,23,5,9,24,28,43,-15,-8.7,12,3,2,20,18,11,2,7,8,25,1.0434782608695652,0.25,0.1818181818181818,0.8571428571428571,1.2173913043478262,1.8695652173913044,-0.7839933488572923,9,23,7,10,27,27,42,-15,-3.04,11,5,1,18,11,12,2,9,9,31,1.173913043478261,0.4545454545454545,0.1666666666666666,1.0,1.173913043478261,1.826086956521739,-0.6769791705813726
Willem II Tilburg,PSV,0.0,2.0,14,23,6,11,24,26,34,-8,7.48,12,3,6,15,16,11,3,5,11,18,1.0434782608695652,0.25,0.2727272727272727,0.9230769230769232,1.1304347826086956,1.4782608695652173,-0.4780764929377903,2,23,16,3,52,71,26,45,147.39,12,9,0,40,10,11,7,3,31,16,2.260869565217391,0.75,0.6363636363636364,0.7323943661971831,3.0869565217391304,1.1304347826086956,2.1672156771300406
NEC,Feyenoord Rotterdam,1.0,1.0,12,22,7,11,25,34,32,2,31.27,12,4,4,25,16,10,3,7,9,16,1.1363636363636365,0.3333333333333333,0.3,0.7352941176470589,1.5454545454545454,1.4545454545454546,-0.0282766164034918,3,23,12,4,43,48,27,21,86.78,11,7,2,23,12,12,5,2,25,15,1.8695652173913044,0.6363636363636364,0.4166666666666667,0.8958333333333334,2.0869565217391304,1.173913043478261,1.0212564288432049
Sparta Rotterdam,Fortuna Sittard,1.0,1.0,16,23,4,11,20,19,33,-14,-10.61,11,1,5,9,17,12,3,6,10,16,0.8695652173913043,0.0909090909090909,0.25,1.0526315789473684,0.8260869565217391,1.434782608695652,-0.8201059072507564,11,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21,1.181818181818182,0.4545454545454545,0.1818181818181818,0.896551724137931,1.318181818181818,1.818181818181818,-0.511163915549603
PEC Zwolle,Almere City FC,1.0,0.0,13,23,6,10,25,27,35,-8,7.91,12,5,5,18,17,11,1,5,9,18,1.0869565217391304,0.4166666666666667,0.0909090909090909,0.925925925925926,1.173913043478261,1.5217391304347827,-0.4699464405246021,18,23,3,15,14,15,47,-32,-51.39,11,2,8,9,28,12,1,7,6,19,0.6086956521739131,0.1818181818181818,0.0833333333333333,0.9333333333333332,0.6521739130434783,2.0434782608695654,-1.5911373895991672
FC Twente '65,NAC Breda,1.0,0.0,6,22,11,5,39,46,30,16,74.73,10,7,0,25,8,12,4,5,21,22,1.7727272727272727,0.7,0.3333333333333333,0.8478260869565217,2.090909090909091,1.3636363636363635,0.7934258902875807,10,23,8,12,27,26,41,-15,-0.87,12,6,4,16,15,11,2,8,10,26,1.173913043478261,0.5,0.1818181818181818,1.0384615384615383,1.1304347826086956,1.7826086956521738,-0.6359507665427249
